tp,xp,yp,area,aspect,angle,normalized_angle,rvec1_frame,rvec2_frame,rvec3_frame,tvec1_frame,tvec2_frame,tvec3_frame
2492,1017.4580675566077,450.75328978613646,45621.0,1.4171122994652405,78.56238555908203,78.56238555908203,3.060354035141209,0.004169871433294502,-0.292714377169118,-51.33983744234697,86.81415304028405,235.31682866733678
2493,1016.9744390735808,450.441294999251,45616.5,1.4224598930481283,78.69857025146484,78.69857025146484,3.060354035141209,0.004169871433294502,-0.292714377169118,-51.33983744234697,86.81415304028405,235.31682866733678
2494,1016.5540720132605,449.8263014158762,45649.0,1.427807486631016,79.50502014160156,79.50502014160156,3.060354035141209,0.004169871433294502,-0.292714377169118,-51.33983744234697,86.81415304028405,235.31682866733678
2495,1016.5364603428319,449.2033585037388,45357.5,1.4224598930481283,78.99368286132812,78.99368286132812,3.060354035141209,0.004169871433294502,-0.292714377169118,-51.33983744234697,86.81415304028405,235.31682866733678
2496,1016.6682583545189,448.89683873107106,45235.0,1.4301075268817205,78.53356170654297,78.53356170654297,3.060354035141209,0.004169871433294502,-0.292714377169118,-51.33983744234697,86.81415304028405,235.31682866733678
2497,1016.659855093241,448.52355010531653,45339.5,1.4224598930481283,78.52452850341797,78.52452850341797,3.060354035141209,0.004169871433294502,-0.292714377169118,-51.33983744234697,86.81415304028405,235.31682866733678
2498,1016.8509403673102,448.08900720187336,45266.0,1.4301075268817205,77.79893493652344,77.79893493652344,3.060354035141209,0.004169871433294502,-0.292714377169118,-51.33983744234697,86.81415304028405,235.31682866733678
2499,1017.273787606522,448.1585840434797,45354.5,1.4378378378378378,78.58780670166016,78.58780670166016,3.060354035141209,0.004169871433294502,-0.292714377169118,-51.33983744234697,86.81415304028405,235.31682866733678
2500,1016.724227764678,447.44283189236853,45166.5,1.424731182795699,79.0859603881836,79.0859603881836,3.060354035141209,0.004169871433294502,-0.292714377169118,-51.33983744234697,86.81415304028405,235.31682866733678
2501,1016.6591700253103,446.81667000675435,44909.0,1.4324324324324325,80.03048706054688,80.03048706054688,3.060354035141209,0.004169871433294502,-0.292714377169118,-51.33983744234697,86.81415304028405,235.31682866733678
2502,1016.1025784356472,445.95839994633695,44723.5,1.424731182795699,79.33155822753906,79.33155822753906,3.060354035141209,0.004169871433294502,-0.292714377169118,-51.33983744234697,86.81415304028405,235.31682866733678
2503,1016.1588607642236,445.58208341740834,44603.0,1.4324324324324325,79.8553466796875,79.8553466796875,3.060354035141209,0.004169871433294502,-0.292714377169118,-51.33983744234697,86.81415304028405,235.31682866733678
2504,1015.9036268924467,444.92974397081673,44409.0,1.4324324324324325,78.669189453125,78.669189453125,3.060351426540692,0.004148457445999265,-0.2928226791815779,-51.330433292327456,86.81432693812366,235.32020073585235
2505,1015.8077785501267,444.6297658287926,44597.0,1.4378378378378378,79.8670425415039,79.8670425415039,3.060351426540692,0.004148457445999265,-0.2928226791815779,-51.330433292327456,86.81432693812366,235.32020073585235
2506,1015.7841561294952,444.54766762323254,44604.0,1.4378378378378378,80.15609741210938,80.15609741210938,3.060351426540692,0.004148457445999265,-0.2928226791815779,-51.330433292327456,86.81432693812366,235.32020073585235
2507,1015.9265864086409,444.0094621962196,44440.0,1.4456521739130435,79.52767181396484,79.52767181396484,3.060351426540692,0.004148457445999265,-0.2928226791815779,-51.330433292327456,86.81432693812366,235.32020073585235
2508,1016.43048708561,444.3393908369593,44930.5,1.4378378378378378,78.89773559570312,78.89773559570312,3.060386849715904,0.004223294723143731,-0.29287575825732126,-51.330934128709046,86.81070300105826,235.32051613770184
2509,1016.6540306905559,444.05475465765795,44845.5,1.4456521739130435,79.45435333251953,79.45435333251953,3.060351426540692,0.004148457445999265,-0.2928226791815779,-51.330433292327456,86.81432693812366,235.32020073585235
2510,1016.6007425437169,443.04348703913496,44576.5,1.4324324324324325,80.02078247070312,80.02078247070312,3.060354035141209,0.004169871433294502,-0.292714377169118,-51.33983744234697,86.81415304028405,235.31682866733678
2511,1015.9442135142826,442.6533763237915,44506.0,1.4378378378378378,79.6053695678711,79.6053695678711,3.0603766428087162,0.004074025680725935,-0.29271564805407807,-51.33478689926213,86.81882467163562,235.32005255238928
2512,1016.7124317244868,443.0720222946525,44794.0,1.4456521739130435,79.27947235107422,79.27947235107422,3.0603766428087162,0.004074025680725935,-0.29271564805407807,-51.33478689926213,86.81882467163562,235.32005255238928
2513,1016.5801448968288,442.58527464602867,44836.5,1.4378378378378378,79.35216522216797,79.35216522216797,3.060412067091432,0.0041488659443599,-0.29276872469732973,-51.335288323216,86.81520085914973,235.32036840802212
2514,1016.6750836674446,442.2286289707136,44770.5,1.4456521739130435,77.38567352294922,77.38567352294922,3.0603894577297006,0.004244711806711289,-0.2927674542802265,-51.34033855482823,86.8105291848521,235.31714455546117
2515,1016.6004787364936,441.9647882597705,44701.0,1.4456521739130435,78.43682861328125,78.43682861328125,3.060386849715904,0.004223294723143731,-0.29287575825732126,-51.330934128709046,86.81070300105826,235.32051613770184
2516,1016.2197692071825,440.9918033399893,44571.0,1.451086956521739,80.6374282836914,80.6374282836914,3.060386849715904,0.004223294723143731,-0.29287575825732126,-51.330934128709046,86.81070300105826,235.32051613770184
2517,1016.7494201439384,441.1723197971436,44695.0,1.4456521739130435,79.02836608886719,79.02836608886719,3.0603894577297006,0.004244711806711289,-0.2927674542802265,-51.34033855482823,86.8105291848521,235.31714455546117
